sample	tissue	type	sample_type
TCGA-GC-A3WC-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-KQ-A41R-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BT-A20R-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GC-A3I6-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-E7-A7DV-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A47W-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A47S-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-E7-A6MF-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A3MF-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GC-A6I1-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GC-A6I3-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A9T6-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-KQ-A41S-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-AAMX-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GD-A76B-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A1AF-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GD-A3OP-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GC-A3RD-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-C4-A0F6-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A6AV-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BT-A20P-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-UY-A78M-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-AAMZ-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A5U8-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A8HY-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-E7-A8O8-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A3SJ-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GC-A3RC-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GV-A3JX-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-K4-A54R-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A9SP-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-ZF-A9R5-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CU-A3QU-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A3IU-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A6TA-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-ZF-A9R9-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A1AA-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A3WW-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A6B6-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-E7-A3Y1-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A5BR-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-G2-A2EK-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-HQ-A5NE-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-YF-AA3M-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BT-A20X-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-E7-A4IJ-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A3B8-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-K4-AAQO-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-LT-A5Z6-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-ZF-AA4W-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-ZF-AA4X-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-4Z-AA7W-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A47Y-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-E7-A678-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GV-A3JZ-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BT-A2LA-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A7I0-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A6TE-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GC-A3RB-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GV-A6ZA-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A9T2-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A1A6-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-H4-A2HO-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-4Z-AA83-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A27C-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A47V-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A9FF-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-E7-A8O7-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-G2-A3IE-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A9FM-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-G2-A2EF-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FJ-A871-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-UY-A9PB-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-AAMG-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A3MG-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-AA6L-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GD-A3OQ-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-UY-A9PA-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A9T4-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-AAMR-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GV-A3QI-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A8HE-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-S5-AA26-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A6B5-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-G2-A2EL-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-G2-AA3F-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GV-A40G-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-K4-A83P-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-UY-A9PF-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A8HD-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-ZF-A9RC-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BT-A3PH-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BT-A3PJ-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CU-A72E-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A3IM-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A43N-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A62P-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FJ-A3Z7-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FT-A61P-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-K4-A4AB-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-KQ-A41P-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A9SM-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-AAN3-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BT-A0S7-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BT-A20J-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BT-A20O-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A3MH-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CU-A3KJ-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-AA74-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-E7-A6ME-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A3B6-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GU-AATO-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GV-A40E-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-AAMW-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-ZF-AA56-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BT-A2LD-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A3X1-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-E7-A5KE-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-PQ-A6FN-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-UY-A78P-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A9T5-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-YC-A89H-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-ZF-A9RE-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A5BZ-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-K4-A3WV-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-AAN4-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-5N-A9KI-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A5BU-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-ZF-A9R7-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A1HS-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-G2-AA3B-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-K4-A6FZ-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-UY-A78O-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-AAMT-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-AAN1-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A1AB-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A3B3-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A9SU-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-AAN8-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-5N-A9KM-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BT-A2LB-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A2I1-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A9SI-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-AA6P-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A43S-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BT-A0YX-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BT-A20U-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-C4-A0EZ-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-LT-A8JT-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A9T3-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-ZF-AA51-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-UY-A8OD-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-2F-A9KW-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A1A7-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A3WX-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A3WY-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-K4-A5RI-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-ZF-A9RN-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A9SH-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-AA6M-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-AA76-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-H4-A2HQ-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-AAME-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A2I2-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A5BY-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A9SX-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-ZF-AA5N-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-AA6Q-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-E5-A2PC-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A5C1-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A8HH-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-AAN5-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-ZF-AA58-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-E7-A97Q-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A62S-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A9SY-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-ZF-AA5H-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-2F-A9KR-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BT-A20V-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-AAMQ-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A47T-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-G2-A2EC-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BL-A13I-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A8HI-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-G2-A2EJ-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GV-A3QK-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A8HX-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A3B4-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GD-A3OS-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GD-A2C5-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-ZF-A9R3-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-HQ-A2OF-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A8HB-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A5BV-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-YF-AA3L-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A3N6-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A9SZ-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-AA6W-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-HQ-A5ND-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-LC-A66R-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-AAMY-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-C4-A0F7-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A6TD-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GC-A3WC-11	BLCA	BLCA_normal_TCGA	normal
TCGA-BT-A20R-11	BLCA	BLCA_normal_TCGA	normal
TCGA-K4-A3WV-11	BLCA	BLCA_normal_TCGA	normal
TCGA-BT-A2LB-11	BLCA	BLCA_normal_TCGA	normal
TCGA-BT-A20U-11	BLCA	BLCA_normal_TCGA	normal
TCGA-K4-A5RI-11	BLCA	BLCA_normal_TCGA	normal
TCGA-GD-A2C5-11	BLCA	BLCA_normal_TCGA	normal
TCGA-FD-A43Y-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FJ-A3ZE-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GV-A3QG-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A9SK-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-ZF-AA4T-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-ZF-AA5P-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-4Z-AA7O-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BT-A42C-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BT-A42F-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-AA6U-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-E5-A4TZ-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-E7-A85H-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GD-A6C6-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-K4-A6MB-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A9T8-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-2F-A9KO-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BT-A20T-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-AA6T-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-AA6X-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-E7-A7PW-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A6TH-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-UY-A8OB-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BL-A3JM-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A1HR-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A3MI-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A3IT-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A3SQ-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GU-A766-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-UY-A78L-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-4Z-AA84-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A6B0-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-AA77-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A5C0-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GC-A3YS-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-ZF-A9RL-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-4Z-AA7Y-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-4Z-AA89-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-C4-A0F0-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A47X-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CU-A0YN-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A1A3-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A3IV-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-AA6S-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A3NA-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A3SL-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A3SP-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A6TK-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-G2-AA3D-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-UY-A78K-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-AAN7-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-ZF-AA53-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-4Z-AA82-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GU-A763-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BT-A20W-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-C4-A0F1-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-AA71-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GC-A4ZW-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-YC-A8S6-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-UY-A8OC-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-KQ-A41Q-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A3IK-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-GU-A762-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-K4-A3WU-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A3B5-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-UY-A9PE-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A9FH-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CF-A9FL-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A3X2-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-G2-A2ES-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-XF-A9SW-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CU-A0YO-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A1AE-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A43X-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A5BT-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-KQ-A41O-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-2F-A9KT-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-CU-A0YR-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-K4-A4AC-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-S5-A6DX-01	BLCA	BLCA_tumor_TCGA	tumor
